--- REVIEW ---
                                        normalized_query                               db_normalized  match_score  jaccard_score  sequence_score                           matched_tokens             unmatched_query             unmatched_db
212              pic intim 12 solution wash size 450 ml                                 lifebuoy hand cool fresh wash 450 ml        0.339         0.2985          0.4324                      wash, 450, ml  pic, intim, 12, solution, size                 lifebuoy, hand, cool, fresh
251                   atrovent comp hfa 20 50 mcg 10 ml                                    atrovent 20 50 comp inhaler 15 ml        0.428         0.6000          0.6364         atrovent, comp, 20, 50, ml                    hfa, mcg, 10                                 inhaler, 15
271                                avodart .5 mg 30 tab                                                mavilor 2.5 mg 30 tab        0.493         0.5600          0.8293                    .5, mg, 30, tab                         avodart                                     mavilor
318                            bebelac ec 450 gm powder                                uni fructose diet sweet 450 gm powder        0.410         0.3333          0.5902                    450, gm, powder                     bebelac, ec                  uni, fructose, diet, sweet
320                                 bebe vit oral drops                                            tera vit oral drops 30 ml        0.452         0.3333          0.7273                   vit, oral, drops                            bebe                                tera, 30, ml
326                              becozyme c fort 30 tab                                                        c plus 30 tab        0.500         0.4938          0.5143                         c, 30, tab                  becozyme, fort                                        plus
341                            betadine 14 vaginal supp                                      betadine vaginal 10 wash 120 ml        0.406         0.3636          0.6545                  betadine, vaginal                        14, supp                           10, wash, 120, ml
349                                      betafos ampoul                                            betafos 1 injectable 2 ml        0.432         0.3750          0.5641                            betafos                          ampoul                        1, injectable, 2, ml
365                     bibo 10 gm plus powder 5 sachet                                         ologint 10 gm plus 10 sachet        0.444         0.3443          0.6780               10, gm, plus, sachet                 bibo, powder, 5                                 ologint, 10
377                        biotin bepanthene injectable                                                  biotin forte 60 cap        0.416         0.3750          0.5106                             biotin          bepanthene, injectable                              forte, 60, cap
383                       bisadyl for child 5 mg 5 supp                                                  bisadyl 5 mg 30 tab        0.498         0.4615          0.5833                     bisadyl, 5, mg             for, child, 5, supp                                     30, tab
389                             bisolvon solution 40 ml                                             louvel body lotion 40 ml        0.468         0.4127          0.5957                   solution, 40, ml                        bisolvon                                louvel, body
401                                blokium 50 mg 15 tab                                               morfblock 50 mg 10 tab        0.483         0.3636          0.7619                        50, mg, tab                     blokium, 15                               morfblock, 10
418                                             bran 30                                                        librax 30 tab        0.380         0.2857          0.6000                                 30                            bran                                 librax, tab
447                       burnazin 1000 mg 100 gm cream                                             moist 100 gm gel 1 cream        0.485         0.4667          0.5283               1000, 100, gm, cream                    burnazin, mg                                  moist, gel
451                          buscopan comp 3 injectable                                                  lutone 3 injectable        0.476         0.3750          0.7111                      3, injectable                  buscopan, comp                                      lutone
469                                   calcipoheal cream                                                  algesal 40 gm cream        0.283         0.1429          0.6111                              cream                     calcipoheal                             algesal, 40, gm
470                           calcipoheal cort ointment                                        co betapronate 30 gm ointment        0.311         0.2375          0.4815                     cort, ointment                     calcipoheal                         betapronate, 30, gm
475                        calcium sandoz forte 10 efer                                  calcium chloride 1 injectable 10 ml        0.444         0.4167          0.5079                        calcium, 10             sandoz, forte, efer                 chloride, 1, injectable, ml
496                                    candy menthol 12                               candy c honey flavor lemon 12 lozenges        0.452         0.4545          0.4444                          candy, 12                         menthol           c, honey, flavor, lemon, lozenges
