Row #,Original Name,Normalized Name,Status,Score,Matched Name,Matched SKU,DB Normalized Name,Jaccard Score,Sequence Score,Matched Tokens,Unmatched Query Tokens,Unmatched DB Tokens,Candidate Count,All Candidates (JSON)
50,ALCOHOL 75ML,alcohol 75 ml,review,61.60%,Ingram Cool Shaving Gel 75 ml,6296,ingram cool shaving gel 75 ml,57.58%,52.38%,"alcohol, 75, ml",,"ingram, shaving, gel",11566,"[{""name"":""Ingram Cool Shaving Gel 75 ml"",""score"":""61.60%"",""sku"":""6296"",""db_normalized"":""ingram cool shaving gel 75 ml"",""jaccard"":0.5758,""sequence"":0.5238,""matched"":[""alcohol"",""75"",""ml""],""unmatched_q"":[],""unmatched_db"":[""ingram"",""shaving"",""gel""]}]"
51,ALEGO شفاط مخاط,alego aspirator nasal,no_match,37.90%,Grace Baby Nasal Aspirator,139698,grace nasal aspirator baby,28.57%,59.57%,"aspirator, nasal",alego,"grace, baby",113,"[{""name"":""Grace Baby Nasal Aspirator"",""score"":""37.90%"",""sku"":""139698"",""db_normalized"":""grace nasal aspirator baby"",""jaccard"":0.2857,""sequence"":0.5957,""matched"":[""aspirator"",""nasal""],""unmatched_q"":[""alego""],""unmatched_db"":[""grace"",""baby""]}]"
52,ALERGOLIBER 120ML ORAL SOL,alergoliber oral solution 120 ml,review,69.60%,Citalo Oral Solution 120 ml,126672,citalo oral solution 120 ml,55.56%,81.36%,"oral, solution, 120, ml",alergoliber,citalo,11742,"[{""name"":""Citalo Oral Solution 120 ml"",""score"":""69.60%"",""sku"":""126672"",""db_normalized"":""citalo oral solution 120 ml"",""jaccard"":0.5556,""sequence"":0.8136,""matched"":[""oral"",""solution"",""120"",""ml""],""unmatched_q"":[""alergoliber""],""unmatched_db"":[""citalo""]}]"
53,ALERTAM 180MG 10TAB,alertam 180 mg 10 tab,matched,97.30%,Alertam 180 mg 10 Film Coated Tablets,130007,alertam 10 film coated 180 mg tab,97.83%,66.67%,"alertam, 180, mg, 10, tab",,"film, coated",7935,"[{""name"":""Alertam 180 mg 10 Film Coated Tablets"",""score"":""97.30%"",""sku"":""130007"",""db_normalized"":""alertam 10 film coated 180 mg tab"",""jaccard"":0.9783,""sequence"":0.6667,""matched"":[""alertam"",""180"",""mg"",""10"",""tab""],""unmatched_q"":[],""unmatched_db"":[""film"",""coated""]}]"
54,ALGESAL SURACTIVE 40G CR.,algesal suractive 40 gm cream,matched,93.50%,Algesal Cream 40 gm,127605,algesal 40 gm cream,87.50%,79.17%,"algesal, 40, gm, cream",suractive,,4745,"[{""name"":""Algesal Cream 40 gm"",""score"":""93.50%"",""sku"":""127605"",""db_normalized"":""algesal 40 gm cream"",""jaccard"":0.875,""sequence"":0.7917,""matched"":[""algesal"",""40"",""gm"",""cream""],""unmatched_q"":[""suractive""],""unmatched_db"":[]}]"
55,ALGO GLASS 120 WITH HAND,algo 120 with hand glass,no_match,36.30%,Aishu Hair Comb (2X1) With Hand,139067,aishu comb 2 1 with hand hair,31.67%,60.38%,"120, with, hand","algo, glass","aishu, comb, 2, hair",2632,"[{""name"":""Aishu Hair Comb (2X1) With Hand"",""score"":""36.30%"",""sku"":""139067"",""db_normalized"":""aishu comb 2 1 with hand hair"",""jaccard"":0.3167,""sequence"":0.6038,""matched"":[""120"",""with"",""hand""],""unmatched_q"":[""algo"",""glass""],""unmatched_db"":[""aishu"",""comb"",""2"",""hair""]}]"
56,ALICE BREEZE,alice breeze,review,51.80%,Alice Hair Care Set,139856,alice care hair set,49.18%,58.06%,alice,breeze,"care, hair, set",237,"[{""name"":""Alice Hair Care Set"",""score"":""51.80%"",""sku"":""139856"",""db_normalized"":""alice care hair set"",""jaccard"":0.4918,""sequence"":0.5806,""matched"":[""alice""],""unmatched_q"":[""breeze""],""unmatched_db"":[""care"",""hair"",""set""]}]"
57,ALICE طقم فرش مكياج 7 قطع,alice brushes 7 pieces set makeup,review,74.10%,Alice (006) Travel Essentials 7 Pieces (Makeup Brushes),118001,alice 006 travel essentials 7 pieces brushes makeup,66.67%,69.05%,"alice, brushes, 7, pieces, makeup",set,"006, travel, essentials",1735,"[{""name"":""Alice (006) Travel Essentials 7 Pieces (Makeup Brushes)"",""score"":""74.10%"",""sku"":""118001"",""db_normalized"":""alice 006 travel essentials 7 pieces brushes makeup"",""jaccard"":0.6667,""sequence"":0.6905,""matched"":[""alice"",""brushes"",""7"",""pieces"",""makeup""],""unmatched_q"":[""set""],""unmatched_db"":[""006"",""travel"",""essentials""]}]"
58,ALKA-MISR 12SACH.,alka misr 12 sachet,matched,100.00%,Alka Misr 12 Sachets,130976,alka misr 12 sachet,100.00%,100.00%,"alka, misr, 12, sachet",,,785,"[{""name"":""Alka Misr 12 Sachets"",""score"":""100.00%"",""sku"":""130976"",""db_normalized"":""alka misr 12 sachet"",""jaccard"":1,""sequence"":1,""matched"":[""alka"",""misr"",""12"",""sachet""],""unmatched_q"":[],""unmatched_db"":[]}]"
59,ALKAPRESS PLUS 5/160MG 14TAB,alkapress 5 160 mg plus 14 tab,matched,93.30%,Alkapress Plus 5 mg/160 mg 14 Film Coated Tablets,132080,alkapress 14 film coated 5 mg 160 mg plus tab,90.32%,72.00%,"alkapress, 5, 160, mg, plus, 14, tab",,"film, coated, mg",7583,"[{""name"":""Alkapress Plus 5 mg/160 mg 14 Film Coated Tablets"",""score"":""93.30%"",""sku"":""132080"",""db_normalized"":""alkapress 14 film coated 5 mg 160 mg plus tab"",""jaccard"":0.9032,""sequence"":0.72,""matched"":[""alkapress"",""5"",""160"",""mg"",""plus"",""14"",""tab""],""unmatched_q"":[],""unmatched_db"":[""film"",""coated"",""mg""]}]"
60,ALLEAR 5MG 20TAB,allear 5 mg 20 tab,matched,100.00%,Allear 5 mg 20 Tablets,129832,allear 5 mg 20 tab,100.00%,100.00%,"allear, 5, mg, 20, tab",,,7988,"[{""name"":""Allear 5 mg 20 Tablets"",""score"":""100.00%"",""sku"":""129832"",""db_normalized"":""allear 5 mg 20 tab"",""jaccard"":1,""sequence"":1,""matched"":[""allear"",""5"",""mg"",""20"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
61,ALLERBAN S.R 2MG 20TAB,allerban s.r 2 mg 20 tab,matched,100.00%,Allerban S R 2 mg 20 Tablets,128635,allerban s r 2 mg 20 tab,90.00%,95.83%,"allerban, s.r, 2, mg, 20, tab",,r,7984,"[{""name"":""Allerban S R 2 mg 20 Tablets"",""score"":""100.00%"",""sku"":""128635"",""db_normalized"":""allerban s r 2 mg 20 tab"",""jaccard"":0.9,""sequence"":0.9583,""matched"":[""allerban"",""s.r"",""2"",""mg"",""20"",""tab""],""unmatched_q"":[],""unmatched_db"":[""r""]}]"
62,ALLERBAN SYP 100ML,allerban syrup 100 ml,matched,100.00%,Allerban Syrup 100 ml,128663,allerban syrup 100 ml,100.00%,100.00%,"allerban, syrup, 100, ml",,,12254,"[{""name"":""Allerban Syrup 100 ml"",""score"":""100.00%"",""sku"":""128663"",""db_normalized"":""allerban syrup 100 ml"",""jaccard"":1,""sequence"":1,""matched"":[""allerban"",""syrup"",""100"",""ml""],""unmatched_q"":[],""unmatched_db"":[]}]"
63,ALLERGEX 20GM CREAM,allergex 20 gm cream,matched,100.00%,Allergex Cream 20 gm,127684,allergex 20 gm cream,100.00%,100.00%,"allergex, 20, gm, cream",,,6388,"[{""name"":""Allergex Cream 20 gm"",""score"":""100.00%"",""sku"":""127684"",""db_normalized"":""allergex 20 gm cream"",""jaccard"":1,""sequence"":1,""matched"":[""allergex"",""20"",""gm"",""cream""],""unmatched_q"":[],""unmatched_db"":[]}]"
64,ALLERGYL 120CC SYP.,allergyl syrup 120 ml,matched,100.00%,Allergyl Syrup 120 ml,128898,allergyl syrup 120 ml,100.00%,100.00%,"allergyl, syrup, 120, ml",,,11628,"[{""name"":""Allergyl Syrup 120 ml"",""score"":""100.00%"",""sku"":""128898"",""db_normalized"":""allergyl syrup 120 ml"",""jaccard"":1,""sequence"":1,""matched"":[""allergyl"",""syrup"",""120"",""ml""],""unmatched_q"":[],""unmatched_db"":[]}]"
65,ALL-VENT 125ML SYP,all vent syrup 125 ml,matched,100.00%,All-Vent Syrup 125 ml,125097,all vent syrup 125 ml,100.00%,100.00%,"all, vent, syrup, 125, ml",,,11469,"[{""name"":""All-Vent Syrup 125 ml"",""score"":""100.00%"",""sku"":""125097"",""db_normalized"":""all vent syrup 125 ml"",""jaccard"":1,""sequence"":1,""matched"":[""all"",""vent"",""syrup"",""125"",""ml""],""unmatched_q"":[],""unmatched_db"":[]}]"
66,ALOE EVA CREAM 185G بلصبار وزيت الزيتون,aloe eva بلصبار وزيت الزيتون 185 gm cream,review,54.90%,Aloe Eva Hair cream with Aloe Vera 185 gm,45142,aloe eva with aloe vera 185 gm hair cream,53.33%,58.54%,"aloe, eva, 185, gm, cream","بلصبار, وزيت, الزيتون","with, aloe, vera, hair",4615,"[{""name"":""Aloe Eva Hair cream with Aloe Vera 185 gm"",""score"":""54.90%"",""sku"":""45142"",""db_normalized"":""aloe eva with aloe vera 185 gm hair cream"",""jaccard"":0.5333,""sequence"":0.5854,""matched"":[""aloe"",""eva"",""185"",""gm"",""cream""],""unmatched_q"":[""بلصبار"",""وزيت"",""الزيتون""],""unmatched_db"":[""with"",""aloe"",""vera"",""hair""]}]"
67,ALOE EVA CREAM HAIR 85 GM,aloe eva 85 gm cream hair,review,78.10%,Aloe Eva Hair cream with Aloe Vera 85 gm,102692,aloe eva with aloe vera 85 gm hair cream,75.00%,61.54%,"aloe, eva, 85, gm, cream, hair",,"with, aloe, vera",6364,"[{""name"":""Aloe Eva Hair cream with Aloe Vera 85 gm"",""score"":""78.10%"",""sku"":""102692"",""db_normalized"":""aloe eva with aloe vera 85 gm hair cream"",""jaccard"":0.75,""sequence"":0.6154,""matched"":[""aloe"",""eva"",""85"",""gm"",""cream"",""hair""],""unmatched_q"":[],""unmatched_db"":[""with"",""aloe"",""vera""]}]"
68,ALOE EVA HAIR OIL 255ML,aloe eva hair oil 255 ml,review,82.90%,Aloe Eva Hair Oil with Aloe Vera 255 ml,141732,aloe eva with aloe vera hair oil 255 ml,75.00%,76.19%,"aloe, eva, hair, oil, 255, ml",,"with, aloe, vera",12089,"[{""name"":""Aloe Eva Hair Oil with Aloe Vera 255 ml"",""score"":""82.90%"",""sku"":""141732"",""db_normalized"":""aloe eva with aloe vera hair oil 255 ml"",""jaccard"":0.75,""sequence"":0.7619,""matched"":[""aloe"",""eva"",""hair"",""oil"",""255"",""ml""],""unmatched_q"":[],""unmatched_db"":[""with"",""aloe"",""vera""]}]"
69,ALOE VERA GEL,aloe vera gel,review,61.80%,Raw African Aloe Vera Gel 150 ml,122451,raw african aloe vera gel 150 ml,55.56%,57.78%,"aloe, vera, gel",,"raw, african, 150, ml",1463,"[{""name"":""Raw African Aloe Vera Gel 150 ml"",""score"":""61.80%"",""sku"":""122451"",""db_normalized"":""raw african aloe vera gel 150 ml"",""jaccard"":0.5556,""sequence"":0.5778,""matched"":[""aloe"",""vera"",""gel""],""unmatched_q"":[],""unmatched_db"":[""raw"",""african"",""150"",""ml""]}]"
70,ALOEKITA ANTIDANDRUFF HAIR SHAMPOO 200ML,aloekita antidandruff hair shampoo 200 ml,matched,96.50%,Aloekita Anti-Dandruff Shampoo 200 ml,22695,aloekita anti dandruff shampoo 200 ml,85.71%,92.31%,"aloekita, antidandruff, shampoo, 200, ml",hair,anti,12231,"[{""name"":""Aloekita Anti-Dandruff Shampoo 200 ml"",""score"":""96.50%"",""sku"":""22695"",""db_normalized"":""aloekita anti dandruff shampoo 200 ml"",""jaccard"":0.8571,""sequence"":0.9231,""matched"":[""aloekita"",""antidandruff"",""shampoo"",""200"",""ml""],""unmatched_q"":[""hair""],""unmatched_db"":[""anti""]}]"
71,ALOEKITA DSDA H.SHAMPOO 250ML,aloekita dsda h.shampoo 250 ml,matched,100.00%,Aloekita DSDA Shampoo 250 ml,93015,aloekita dsda shampoo 250 ml,98.44%,96.55%,"aloekita, dsda, h.shampoo, 250, ml",,,11591,"[{""name"":""Aloekita DSDA Shampoo 250 ml"",""score"":""100.00%"",""sku"":""93015"",""db_normalized"":""aloekita dsda shampoo 250 ml"",""jaccard"":0.9844,""sequence"":0.9655,""matched"":[""aloekita"",""dsda"",""h.shampoo"",""250"",""ml""],""unmatched_q"":[],""unmatched_db"":[]}]"
72,ALOEKITA HAIR CONDITIONER,aloekita hair conditioner,review,78.50%,Aloekita Hair Nourishing Conditioner 200 ml,24822,aloekita hair nourishing conditioner 200 ml,70.42%,73.53%,"aloekita, hair, conditioner",,"nourishing, 200, ml",2587,"[{""name"":""Aloekita Hair Nourishing Conditioner 200 ml"",""score"":""78.50%"",""sku"":""24822"",""db_normalized"":""aloekita hair nourishing conditioner 200 ml"",""jaccard"":0.7042,""sequence"":0.7353,""matched"":[""aloekita"",""hair"",""conditioner""],""unmatched_q"":[],""unmatched_db"":[""nourishing"",""200"",""ml""]}]"
73,ALOEKITA HAIR SHAMPOO 200ML,aloekita hair shampoo 200 ml,matched,95.10%,Aloekita Caffeine Shampoo 200 ml,75988,aloekita caffeine shampoo 200 ml,86.42%,86.67%,"aloekita, shampoo, 200, ml",hair,caffeine,12231,"[{""name"":""Aloekita Caffeine Shampoo 200 ml"",""score"":""95.10%"",""sku"":""75988"",""db_normalized"":""aloekita caffeine shampoo 200 ml"",""jaccard"":0.8642,""sequence"":0.8667,""matched"":[""aloekita"",""shampoo"",""200"",""ml""],""unmatched_q"":[""hair""],""unmatched_db"":[""caffeine""]}]"
74,ALOEKITA HAIR SPRAY 200ML,aloekita hair spray 200 ml,matched,100.00%,Aloekita Hair Growth Spray 200 ml,33831,aloekita growth hair spray 200 ml,98.77%,88.14%,"aloekita, hair, spray, 200, ml",,growth,12246,"[{""name"":""Aloekita Hair Growth Spray 200 ml"",""score"":""100.00%"",""sku"":""33831"",""db_normalized"":""aloekita growth hair spray 200 ml"",""jaccard"":0.9877,""sequence"":0.8814,""matched"":[""aloekita"",""hair"",""spray"",""200"",""ml""],""unmatched_q"":[],""unmatched_db"":[""growth""]}]"
75,ALOPANTHEN HAIR LOTION 190ML,alopanthen hair lotion 190 ml,matched,100.00%,Alopanthen Hair Lotion 190 ml,137291,alopanthen hair lotion 190 ml,100.00%,100.00%,"alopanthen, hair, lotion, 190, ml",,,11956,"[{""name"":""Alopanthen Hair Lotion 190 ml"",""score"":""100.00%"",""sku"":""137291"",""db_normalized"":""alopanthen hair lotion 190 ml"",""jaccard"":1,""sequence"":1,""matched"":[""alopanthen"",""hair"",""lotion"",""190"",""ml""],""unmatched_q"":[],""unmatched_db"":[]}]"
76,ALPHANOVA PLUS 5ML EYE DROPS,alphanova eye plus drops 5 ml,matched,100.00%,Alphanova Plus Eye Drops 5 ml,132308,alphanova eye plus drops 5 ml,100.00%,100.00%,"alphanova, eye, plus, drops, 5, ml",,,12663,"[{""name"":""Alphanova Plus Eye Drops 5 ml"",""score"":""100.00%"",""sku"":""132308"",""db_normalized"":""alphanova eye plus drops 5 ml"",""jaccard"":1,""sequence"":1,""matched"":[""alphanova"",""eye"",""plus"",""drops"",""5"",""ml""],""unmatched_q"":[],""unmatched_db"":[]}]"
77,ALPHINTERN 30T.,alphintern 30 tab,matched,100.00%,Alphintern 30 Tablets,124427,alphintern 30 tab,100.00%,100.00%,"alphintern, 30, tab",,,6623,"[{""name"":""Alphintern 30 Tablets"",""score"":""100.00%"",""sku"":""124427"",""db_normalized"":""alphintern 30 tab"",""jaccard"":1,""sequence"":1,""matched"":[""alphintern"",""30"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
78,ALTIAZEM 60MG 40TAB,altiazem 60 mg 40 tab,matched,100.00%,Altiazem 60 mg 40 Tablets,131042,altiazem 60 mg 40 tab,100.00%,100.00%,"altiazem, 60, mg, 40, tab",,,7794,"[{""name"":""Altiazem 60 mg 40 Tablets"",""score"":""100.00%"",""sku"":""131042"",""db_normalized"":""altiazem 60 mg 40 tab"",""jaccard"":1,""sequence"":1,""matched"":[""altiazem"",""60"",""mg"",""40"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
79,ALVEOLIN-P 100ML SYP,alveolin syrup 100 ml,matched,100.00%,Alveolin - P Syrup 100 ml,125966,alveolin syrup 100 ml,100.00%,100.00%,"alveolin, syrup, 100, ml",,,12253,"[{""name"":""Alveolin - P Syrup 100 ml"",""score"":""100.00%"",""sku"":""125966"",""db_normalized"":""alveolin syrup 100 ml"",""jaccard"":1,""sequence"":1,""matched"":[""alveolin"",""syrup"",""100"",""ml""],""unmatched_q"":[],""unmatched_db"":[]}]"
80,ALVITAL 120ML SYP,alvital syrup 120 ml,matched,100.00%,Alvital Syrup 120 ml,34246,alvital syrup 120 ml,100.00%,100.00%,"alvital, syrup, 120, ml",,,11627,"[{""name"":""Alvital Syrup 120 ml"",""score"":""100.00%"",""sku"":""34246"",""db_normalized"":""alvital syrup 120 ml"",""jaccard"":1,""sequence"":1,""matched"":[""alvital"",""syrup"",""120"",""ml""],""unmatched_q"":[],""unmatched_db"":[]}]"
81,ALWAYS BREATHABLE SENSITIVE 30 PADS,always breathable sensitive 30 pads,no_match,48.30%,Always Sensitive Maxi Long 28 Pads,115504,always sensitive maxi long 28 pads,49.41%,63.77%,"always, sensitive, pads","breathable, 30","maxi, long, 28",4499,"[{""name"":""Always Sensitive Maxi Long 28 Pads"",""score"":""48.30%"",""sku"":""115504"",""db_normalized"":""always sensitive maxi long 28 pads"",""jaccard"":0.4941,""sequence"":0.6377,""matched"":[""always"",""sensitive"",""pads""],""unmatched_q"":[""breathable"",""30""],""unmatched_db"":[""maxi"",""long"",""28""]}]"
82,ALWAYS COTTONY SOFT EXTRA LONG 7 PADS,always cottony extra soft long 7 pads,matched,89.70%,Always Cotton Soft Maxi Thick & Extra Long 7 Pads,72320,always extra cotton soft maxi thick long 7 pads,85.82%,71.43%,"always, cottony, extra, soft, long, 7, pads",,"maxi, thick",1116,"[{""name"":""Always Cotton Soft Maxi Thick & Extra Long 7 Pads"",""score"":""89.70%"",""sku"":""72320"",""db_normalized"":""always extra cotton soft maxi thick long 7 pads"",""jaccard"":0.8582,""sequence"":0.7143,""matched"":[""always"",""cottony"",""extra"",""soft"",""long"",""7"",""pads""],""unmatched_q"":[],""unmatched_db"":[""maxi"",""thick""]}]"
83,ALWAYS MAXI LONG 16PADS OFFER,always offer maxi long 16 pads,matched,90.00%,Always Cotton Soft Maxi Thick & Long 16 Pads,105390,always cotton soft maxi thick long 16 pads,84.71%,75.00%,"always, maxi, long, 16, pads",offer,"cotton, soft, thick",783,"[{""name"":""Always Cotton Soft Maxi Thick & Long 16 Pads"",""score"":""90.00%"",""sku"":""105390"",""db_normalized"":""always cotton soft maxi thick long 16 pads"",""jaccard"":0.8471,""sequence"":0.75,""matched"":[""always"",""maxi"",""long"",""16"",""pads""],""unmatched_q"":[""offer""],""unmatched_db"":[""cotton"",""soft"",""thick""]}]"
84,ALWAYS MAXI LONG 8 PAD,always 8 pad maxi long,matched,95.50%,Always Protect Plus -Maxi Long 8 Pads,126657,always protect plus maxi long 8 pads,95.95%,65.52%,"always, 8, pad, maxi, long",,"protect, plus",438,"[{""name"":""Always Protect Plus -Maxi Long 8 Pads"",""score"":""95.50%"",""sku"":""126657"",""db_normalized"":""always protect plus maxi long 8 pads"",""jaccard"":0.9595,""sequence"":0.6552,""matched"":[""always"",""8"",""pad"",""maxi"",""long""],""unmatched_q"":[],""unmatched_db"":[""protect"",""plus""]}]"
85,ALWAYS MAXI THICK,always maxi thick,review,69.10%,Always Cotton Soft Maxi Thick & Long 8 Pads,104472,always cotton soft maxi thick long 8 pads,64.62%,58.62%,"always, maxi, thick",,"cotton, soft, long, 8, pads",139,"[{""name"":""Always Cotton Soft Maxi Thick & Long 8 Pads"",""score"":""69.10%"",""sku"":""104472"",""db_normalized"":""always cotton soft maxi thick long 8 pads"",""jaccard"":0.6462,""sequence"":0.5862,""matched"":[""always"",""maxi"",""thick""],""unmatched_q"":[],""unmatched_db"":[""cotton"",""soft"",""long"",""8"",""pads""]}]"
86,ALWAYS MAXI THICK 8 PADS,always maxi thick 8 pads,matched,98.30%,Always Cotton Soft Maxi Thick & Long 8 Pads,104472,always cotton soft maxi thick long 8 pads,96.00%,73.85%,"always, maxi, thick, 8, pads",,"cotton, soft, long",485,"[{""name"":""Always Cotton Soft Maxi Thick & Long 8 Pads"",""score"":""98.30%"",""sku"":""104472"",""db_normalized"":""always cotton soft maxi thick long 8 pads"",""jaccard"":0.96,""sequence"":0.7385,""matched"":[""always"",""maxi"",""thick"",""8"",""pads""],""unmatched_q"":[],""unmatched_db"":[""cotton"",""soft"",""long""]}]"
87,ALWAYS MAXI THICK EXTRA LONG 18PADS,always extra maxi thick long 18 pads,review,69.20%,Always Sensitive Maxi Thick Extra Long 26 Pads,114938,always extra sensitive maxi thick long 26 pads,64.37%,82.93%,"always, extra, maxi, thick, long, pads",18,"sensitive, 26",543,"[{""name"":""Always Sensitive Maxi Thick Extra Long 26 Pads"",""score"":""69.20%"",""sku"":""114938"",""db_normalized"":""always extra sensitive maxi thick long 26 pads"",""jaccard"":0.6437,""sequence"":0.8293,""matched"":[""always"",""extra"",""maxi"",""thick"",""long"",""pads""],""unmatched_q"":[""18""],""unmatched_db"":[""sensitive"",""26""]}]"
88,ALWAYS MAXI THICK EXTRA LONG 7 PADS,always extra maxi thick long 7 pads,matched,100.00%,Always Cotton Soft Maxi Thick & Extra Long 7 Pads,72320,always extra cotton soft maxi thick long 7 pads,97.44%,85.37%,"always, extra, maxi, thick, long, 7, pads",,"cotton, soft",710,"[{""name"":""Always Cotton Soft Maxi Thick & Extra Long 7 Pads"",""score"":""100.00%"",""sku"":""72320"",""db_normalized"":""always extra cotton soft maxi thick long 7 pads"",""jaccard"":0.9744,""sequence"":0.8537,""matched"":[""always"",""extra"",""maxi"",""thick"",""long"",""7"",""pads""],""unmatched_q"":[],""unmatched_db"":[""cotton"",""soft""]}]"
89,ALWAYS MAXI THICK LONG 18P,always 18 maxi thick long,review,56.20%,Always Cotton Soft Maxi Thick & Long 8 Pads,104472,always cotton soft maxi thick long 8 pads,51.16%,69.70%,"always, maxi, thick, long",18,"cotton, soft, 8, pads",279,"[{""name"":""Always Cotton Soft Maxi Thick & Long 8 Pads"",""score"":""56.20%"",""sku"":""104472"",""db_normalized"":""always cotton soft maxi thick long 8 pads"",""jaccard"":0.5116,""sequence"":0.697,""matched"":[""always"",""maxi"",""thick"",""long""],""unmatched_q"":[""18""],""unmatched_db"":[""cotton"",""soft"",""8"",""pads""]}]"
90,ALWAYS SENSTVE LONG 8 PADS,always senstve long 8 pads,review,78.10%,Always Protect Plus -Maxi Long 8 Pads,126657,always protect plus maxi long 8 pads,73.81%,64.52%,"always, long, 8, pads",senstve,"protect, plus, maxi",481,"[{""name"":""Always Protect Plus -Maxi Long 8 Pads"",""score"":""78.10%"",""sku"":""126657"",""db_normalized"":""always protect plus maxi long 8 pads"",""jaccard"":0.7381,""sequence"":0.6452,""matched"":[""always"",""long"",""8"",""pads""],""unmatched_q"":[""senstve""],""unmatched_db"":[""protect"",""plus"",""maxi""]}]"
91,ALWAYS ULTRA EXTRA LONG 14PCS,always extra 14 ultra long,review,82.70%,Always Ultra Slim Protect Plus - Extra Long 14 Pads,136749,always slim protect extra ultra plus long 14 pads,81.16%,61.33%,"always, extra, 14, ultra, long",,"slim, protect, plus, pads",890,"[{""name"":""Always Ultra Slim Protect Plus - Extra Long 14 Pads"",""score"":""82.70%"",""sku"":""136749"",""db_normalized"":""always slim protect extra ultra plus long 14 pads"",""jaccard"":0.8116,""sequence"":0.6133,""matched"":[""always"",""extra"",""14"",""ultra"",""long""],""unmatched_q"":[],""unmatched_db"":[""slim"",""protect"",""plus"",""pads""]}]"
92,ALWAYS ULTRA EXTRA LONG 7 PCS,always extra 7 ultra long,review,83.30%,Always Ultra Slim Protect Plus - Extra Long 7 Pads,136746,always slim protect extra ultra plus long 7 pads,81.16%,63.01%,"always, extra, 7, ultra, long",,"slim, protect, plus, pads",718,"[{""name"":""Always Ultra Slim Protect Plus - Extra Long 7 Pads"",""score"":""83.30%"",""sku"":""136746"",""db_normalized"":""always slim protect extra ultra plus long 7 pads"",""jaccard"":0.8116,""sequence"":0.6301,""matched"":[""always"",""extra"",""7"",""ultra"",""long""],""unmatched_q"":[],""unmatched_db"":[""slim"",""protect"",""plus"",""pads""]}]"
93,ALWAYS ULTRA LONG 16 PADS,always ultra long 16 pads,matched,86.60%,Always Ultra Slim Protect Plus -Maxi Long 16 Pads,136751,always slim protect ultra plus maxi long 16 pads,83.12%,68.49%,"always, ultra, long, 16, pads",,"slim, protect, plus, maxi",450,"[{""name"":""Always Ultra Slim Protect Plus -Maxi Long 16 Pads"",""score"":""86.60%"",""sku"":""136751"",""db_normalized"":""always slim protect ultra plus maxi long 16 pads"",""jaccard"":0.8312,""sequence"":0.6849,""matched"":[""always"",""ultra"",""long"",""16"",""pads""],""unmatched_q"":[],""unmatched_db"":[""slim"",""protect"",""plus"",""maxi""]}]"
94,ALWAYS ULTRA LONG 8PCS,always 8 ultra long,review,72.00%,Always Ultra Slim Protect Plus -Maxi Long 8 Pads,136755,always slim protect ultra plus maxi long 8 pads,70.13%,54.55%,"always, 8, ultra, long",,"slim, protect, plus, maxi, pads",536,"[{""name"":""Always Ultra Slim Protect Plus -Maxi Long 8 Pads"",""score"":""72.00%"",""sku"":""136755"",""db_normalized"":""always slim protect ultra plus maxi long 8 pads"",""jaccard"":0.7013,""sequence"":0.5455,""matched"":[""always"",""8"",""ultra"",""long""],""unmatched_q"":[],""unmatched_db"":[""slim"",""protect"",""plus"",""maxi"",""pads""]}]"
95,ALZENTAL 200MG  6 TAB,alzental 200 mg 6 tab,matched,100.00%,Alzental 200 mg 6 Tablets,126439,alzental 200 mg 6 tab,100.00%,100.00%,"alzental, 200, mg, 6, tab",,,8262,"[{""name"":""Alzental 200 mg 6 Tablets"",""score"":""100.00%"",""sku"":""126439"",""db_normalized"":""alzental 200 mg 6 tab"",""jaccard"":1,""sequence"":1,""matched"":[""alzental"",""200"",""mg"",""6"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
96,ALZENTAL 200MG 2TAB.,alzental 200 mg 2 tab,matched,85.30%,Alzental 200 mg 6 Tablets,126439,alzental 200 mg 6 tab,70.00%,95.24%,"alzental, 200, mg, tab",2,6,8475,"[{""name"":""Alzental 200 mg 6 Tablets"",""score"":""85.30%"",""sku"":""126439"",""db_normalized"":""alzental 200 mg 6 tab"",""jaccard"":0.7,""sequence"":0.9524,""matched"":[""alzental"",""200"",""mg"",""tab""],""unmatched_q"":[""2""],""unmatched_db"":[""6""]}]"
97,ALZIXA 10MG 30TAB,alzixa 10 mg 30 tab,matched,100.00%,Alzixa 10 mg 30 Tablets,120545,alzixa 10 mg 30 tab,100.00%,100.00%,"alzixa, 10, mg, 30, tab",,,9643,"[{""name"":""Alzixa 10 mg 30 Tablets"",""score"":""100.00%"",""sku"":""120545"",""db_normalized"":""alzixa 10 mg 30 tab"",""jaccard"":1,""sequence"":1,""matched"":[""alzixa"",""10"",""mg"",""30"",""tab""],""unmatched_q"":[],""unmatched_db"":[]}]"
